"NO","Status","PID","Title","Type","Publication Name","Publisher","Year","Venue","Impact Factor","Quartile","Direct Link","Authors","Overleaf","Drive","Dataset","Visibility","Featured","Tags","Notes","Submission Date","Decision Date","Publication Date"
"1","ACCEPTED","4696","Aspect-Based Sentiment Analysis of Bangladeshi IT Service Reviews Using Transformer Architectures and Post-Hoc interpretability ","CONFERENCE","Qpain ","IEEE","2026","Chittagong","_","N/A","NONE","Rajib Khan; Abu Bakar Rakib; Obaidul Haque; Mariha Tabassum; Md. Saidur Rahman; Maksuda Akter","https://www.overleaf.com/project/694154f5f6d80318b056bfba","https://drive.google.com/open?id=1D5K1fvjmTR3DI5lGq2O0Aj1tdAerXoXd&usp=drive_fs","NONE","PUBLIC","false","","","","2026-02-20",""
"2","ACCEPTED","4648","A Hybrid Stacking-Based Framework for Multiclass Road Accident Severity Prediction with Interpretable SHAP Analysis","CONFERENCE","Qpain ","IEEE","2026","Chittagong","_","N/A","NONE","Maksuda Akter; Obaidul Haque; Mariha Tabassum; Rajib Khan","https://www.overleaf.com/project/69412f41e8f20d1a6b18ebe2","https://drive.google.com/open?id=11az8Ia9XrCgkY8gPZ7dPw44D9687k5ep&usp=drive_fs","NONE","PUBLIC","false","","","","",""
"3","ACCEPTED","1220","Transformer-Based Sentence Reconstruction from Jumbled Words: A Comparative Evaluation Against Sequence Models","CONFERENCE","Qpain ","IEEE","2026","Chittagong","_","N/A","NONE","Abu Bakar Rakib; Obaidul Haque; Nazir Ahmed","https://www.overleaf.com/project/692d659e05500223869faccd","https://drive.google.com/open?id=1c-NDCQJ5tiDgzAKu5WmPElQTGr6Yxl_B&usp=drive_fs","NONE","PUBLIC","false","","","","",""
"4","HYPOTHESIS","0","Dry ICE detection","JOURNAL","_","_","_","NONE","_","N/A","NONE","Obaidul Haque","NONE","NONE","NONE","PRIVATE","false","","","","",""
"5","HYPOTHESIS","0","Goldenhar Syndrome Multimodal Imaging Models","JOURNAL","_","_","_","NONE","_","N/A","NONE","Maksuda Akter; Obaidul Haque","NONE","NONE","NONE","PRIVATE","false","","","","",""
"6","HYPOTHESIS","0","Dual-Stream Deep Network Leveraging Smoothed and Original Fundus Images for Robust Diabetic Retinopathy Grading","JOURNAL","","","","NONE","","N/A","NONE","","NONE","NONE","NONE","PRIVATE","false","","","","",""
"7","ACCEPTED","4671","Emotion-Aware Token Reweighting for Aspect-Based Emotion Detection in Bangla Text","CONFERENCE","Qpain ","IEEE","2026","Chittagong","_","N/A","NONE","Mariha Tabassum; Obaidul Haque; Rajib Khan; Md. Saidur Rahman; Maksuda Akter","https://www.overleaf.com/project/694147c3a041210ebce28c6a","https://drive.google.com/open?id=1bmmxev4GPIqUVu9efmvwjQafxoSakUAl&usp=drive_fs","NONE","PUBLIC","false","","","","",""
"8","HYPOTHESIS","0","Essay writing AI and Human Handwritten classification","JOURNAL","_","_","_","NONE","_","N/A","NONE","Obaidul Haque","NONE","NONE","NONE","PRIVATE","false","","","","",""
"9","HYPOTHESIS","0","Bangla Handwritten Essay scoring","JOURNAL","_","_","_","NONE","_","N/A","NONE","Obaidul Haque","NONE","NONE","NONE","PRIVATE","false","","","","",""
"10","HYPOTHESIS","0","Bengali Handwritten Series detection","JOURNAL","_","_","_","NONE","_","N/A","NONE","Obaidul Haque","NONE","NONE","NONE","PRIVATE","false","","","","",""
"11","HYPOTHESIS","0","Converting MRT to T2","JOURNAL","_","_","_","NONE","_","N/A","NONE","Obaidul Haque","NONE","NONE","NONE","PRIVATE","false","","","","",""
"12","HYPOTHESIS","0","Interpretable Deep Learning Framework for Early Detection of Diabetic Retinopathy Using Lesion-Aware Attention","JOURNAL","","","","NONE","","N/A","NONE","","NONE","NONE","NONE","PRIVATE","false","","","","",""
"13","HYPOTHESIS","0","Dry Eyes Detection","JOURNAL","_","_","_","NONE","_","N/A","NONE","Obaidul Haque","NONE","NONE","NONE","PRIVATE","false","","","","",""
"14","HYPOTHESIS","0","Fetal Health forecasting for Healthy or not using informar","JOURNAL","_","_","_","NONE","_","N/A","NONE","Obaidul Haque","NONE","NONE","NONE","PRIVATE","false","","","","",""
"15","HYPOTHESIS","0","Fetal Health Weight and Height Calculation","JOURNAL","_","_","_","NONE","_","N/A","NONE","Obaidul Haque","NONE","NONE","NONE","PRIVATE","false","","","","",""
"16","HYPOTHESIS","0","Fetal Heatlh from audio wave finding how many weaks old","JOURNAL","_","_","_","NONE","_","N/A","NONE","Obaidul Haque","NONE","NONE","NONE","PRIVATE","false","","","","",""
"17","RUNNING","0","Recent Advancements of Wired Charging System for
Smartphone: A Review","Review","_","_","_","NONE","_","N/A","NONE","Zahurul Amin; Obaidul Haque; Rifat Hossain; Moushin Anjum; Tofirat Jahan Tisha","https://www.overleaf.com/project/67590ca8e56ed4121d4d7838","NONE","NONE","PRIVATE","false","","","","",""
"18","WORKING","0","Potato disease D-H classification","JOURNAL","","","_","NONE","_","N/A","NONE","Samiul Alom; Obaidul Haque","NONE","NONE","NONE","PRIVATE","false","","W: 8 model + Shap+LIME + Grad+ inference + CNN + Meth*","","",""
"19","RUNNING","0","A Hybrid Method for Detecting Student Mental Health Issues Using Deep Learning and Ensemble Models","JOURNAL","Discover Computing","Springer Nature","2025","NONE","2.10","Q2","https://www.springer.com/journal/44196","Samiul Alom; Obaidul Haque; Saikat Kumar Gain; Md. Mahabub Alum; Md. Alamin Talukder; Mehnaz Tabassum; Sajal Halder; Ranesh Naha; Abdullahi Chowdhury; Mohsin Kazi","https://www.overleaf.com/project/678018b34928d96557416b35","https://drive.google.com/open?id=1c-2b6w0oGxiot7DTc8WKJLCUtuxjZTxL&usp=drive_fs","NONE","PRIVATE","false","","","","",""
"20","RUNNING","0","Aspect-Based Abusive Sentence Detection in Bangla Using Transformer and Hybrid Deep Neural Architectures","JOURNAL","SN Computer Science","Springer Nature","2025","NONE","2.20","Q2","https://www.springer.com/journal/42979","Samiul Alom; Obaidul Haque; Snaholata Mondal; Tanjim Taharat aurpa; Samiha Jahan Jeba","https://www.overleaf.com/project/673b7521b9df035caaccb5c1","https://drive.google.com/open?id=1ZXFYILMaCrXPIt6ZqhrGz232gemRkGjf&usp=drive_fs","NONE","PRIVATE","false","","","","",""
"21","HYPOTHESIS","0","Liver Disease ILPD","JOURNAL","_","_","_","NONE","_","N/A","NONE","Obaidul Haque; Mariha Tabassum; Ishtiak Al Mammon; Abdul Awal","NONE","https://drive.google.com/open?id=1Kjj-EzYOsv_h0ZNNhY3xPIJX2eMJa0qW&usp=drive_fs","https://www.kaggle.com/datasets/jeevannagaraj/indian-liver-patient-dataset","PRIVATE","false","","","","",""
"22","RUNNING","0","XAI Meets Generative AI: A Systematic Review of Methods and Applications ","JOURNAL","Heliyon","Cell Press","2025","NONE","3.40","Q1","https://www.cell.com/heliyon/home","Md. Samiul Alom; Samiha Maisha Jeba; Fatema Tuz Zohura; Obaidul Haque; Samia Afrin; Md. Saiful Islam; Mahmuda Ferdusi; Tanjim Taharat Aurpa; Md Shoaib Ahmed; Sharad Hasan","https://www.overleaf.com/project/694c3101a851d60cc3b2131c","https://drive.google.com/open?id=1fx4Oeq22_G7asCt1eiMAh23E1qbhfajg&usp=drive_fs","NONE","PRIVATE","false","","","","",""
"23","WORKING","0","Human Stress detection with Das21","Journal","_","_","_","NONE","_","N/A","NONE","Obaidul Haque; Rajib Khan; Mehrin; Mariha Tabassum; Tanjim Taharat Aurpa","NONE","https://drive.google.com/open?id=1B6aMC3AJE8DN5mtqcIFQiQYnxgT03TrV&usp=drive_fs","NONE","PRIVATE","false","","","","",""
"24","WORKING","0","Multi Feature Fake News Dataset","Journal","_","_","_","NONE","_","N/A","NONE","Mariha Tabassum; Obaidul Haque; Hafiza Sultana Nitu; Fahim Shakil Tamim","NONE","https://drive.google.com/open?id=1rXLYsmaj5gOz5Y6lbHRHWJpLgtIf3tYn&usp=drive_fs","NONE","PRIVATE","false","","","","",""
"25","WORKING","0","Multitask Marine Animal Detection using YoloV8 and Swin Transformer Classification","JOURNAL","_","_","_","NONE","_","N/A","NONE","Moushin Anjum; Obaidul Haque; Nishat Tasnim","NONE","https://drive.google.com/open?id=1Ft9_GwJXUy5War1hjmEckAn1pNEWfB3-&usp=drive_fs","NONE","PRIVATE","false","","","","",""
"26","RUNNING","0","Interpretable Hybrid Deep Learning Framework for Multi-Stage Alzheimer’s Disease Classification from Structural MRI","JOURNAL","Journal of Neuroscience Methods","Elsevier","_","NONE","2.30","Q3","https://www.sciencedirect.com/journal/journal-of-neuroscience-methods","Mehedi Hasan; Obaidul Haque; Ferdaus Anam Jibon","https://www.overleaf.com/project/6916f8170f3bd8b901ee39b8","https://drive.google.com/open?id=1s_KFdLrwxFA4pN5Om7G0UUy9fIZeBhiD&usp=drive_fs","NONE","PRIVATE","false","","","","",""
"27","WORKING","0"," MultiClass Lung Disease Detection from Chest X Ray Images","JOURNAL","_","_","_","NONE","0","Q1","NONE","Obaidul Haque; Mariha Tabassum; Another Person; Maksuda Akter; Ishtiak Al Mammon; Abdul Awal","NONE","https://drive.google.com/open?id=1QfuPWW-ll4qkyxiMzj6LudnqeiR-jaCr&usp=drive_fs","NONE","PRIVATE","false","","","","",""
"28","WORKING","0","Forcasting Yield of Types of Rice","Journal","","","","NONE","_","N/A","NONE","Obaidul Haque; Mariha Tabassum","NONE","https://drive.google.com/open?id=1IBXUPZkCG_wnm5NB24LEUzgYYugMY5TD&usp=drive_fs","NONE","PRIVATE","false","","","","",""
"29","WORKING","0","Forcasting Yield of One of Rice","CONFERENCE","","","","NONE","_","N/A","NONE","Obaidul Haque; Mariha Tabassum; Raisa Takia Fima","NONE","https://drive.google.com/open?id=1IBXUPZkCG_wnm5NB24LEUzgYYugMY5TD&usp=drive_fs","NONE","PRIVATE","false","","","","",""
"30","WORKING","0","A Novel Dataset and Explainable AI Framework for Robust Spam Email Detection","CONFERENCE","PECCII","IEEE","2026","PABNA","_","N/A","NONE","Jubair Hossain Dipu; Obaidul Haque; Anamika Rani Nath","NONE","https://drive.google.com/open?id=1Ze8yI8GAFigiF9_rGNXZmoqVGXOPdAkL&usp=drive_fs","NONE","PRIVATE","false","","","","",""
"31","WORKING","0","Aspect Based Sentimental Analysis ","JOURNAL","Data In Brief","Elsevier","_ ","NONE","1.20","Q3","https://www.sciencedirect.com/journal/data-in-brief","Fahim Shakil Tamim; Obaidul Haque; Zaima Sartaj Taheri; Md. Samiul Alom; Abdul Awal; Ishtiak Al Mamoon","NONE","https://drive.google.com/open?id=1KTmGb3XPuqWvVPaoEQb_IzNnSNGdcwtk&usp=drive_fs","NONE","PRIVATE","false","","","","",""
"32","WORKING","0","Paddy Leaf Multiclass Disease","Journal","","","_","NONE","_","N/A","NONE","Samiul Alom; Obaidul Haque","NONE","NONE","NONE","PRIVATE","false","","","","",""
"33","WORKING","0","Multiclass Banana Disease Recognition Dataset","Journal","","","_","NONE","_","N/A","NONE","Obaidul Haque; Samiul Alom","NONE","NONE","NONE","PRIVATE","false","","","","",""
"34","WORKING","0","Early Diabetes classification","Conference","_","_","_","NONE","_","N/A","NONE","Obaidul Haque","NONE","NONE","NONE","PRIVATE","false","","","","",""
"35","WORKING","0"," Dengue prediction Dataset","Conference","_","_","_","NONE","_","N/A","NONE","Obaidul Haque","NONE","NONE","NONE","PRIVATE","false","","","","",""
"36","WORKING","0","Pregnancy Risk Assessment","Conference","_","_","_","NONE","_","N/A","NONE","Obaidul Haque","NONE","NONE","NONE","PRIVATE","false","","","","",""
"37","WORKING","0","Emotion detection from voice tone","Conference","_","_","_","NONE","_","N/A","NONE","Obaidul Haque","NONE","NONE","NONE","PRIVATE","false","","","","",""
"38","WORKING","0","Pancreatic Cancer classification","Conference","_","_","_","NONE","_","N/A","NONE","Obaidul Haque","NONE","NONE","NONE","PRIVATE","false","","","","",""
"39","WORKING","0","Aspect Based Sarcasm Detection","Conference","_","_","_","NONE","_","N/A","NONE","Obaidul Haque","NONE","NONE","NONE","PRIVATE","false","","","","",""
"40","WORKING","0","Personality trait detection","Conference","_","_","_","NONE","_","N/A","NONE","Obaidul Haque","NONE","NONE","NONE","PRIVATE","false","","","","",""
"41","WORKING","0","Case classification using bangla text","Conference","_","_","_","NONE","_","N/A","NONE","Obaidul Haque","NONE","NONE","NONE","PRIVATE","false","","","","",""
"42","WORKING","0","Brain Hammer Wedge","Conference","_","_","_","NONE","_","N/A","NONE","Obaidul Haque","NONE","NONE","NONE","PRIVATE","false","","","","",""
"43","WORKING","0","Gallbladder Ultrasound Disease Detection (UIdataGB)","Conference","_","_","_","NONE","_","N/A","NONE","Maksuda Akter; Obaidul Haque","NONE","NONE","NONE","PRIVATE","false","","","","",""
"44","WORKING","0","Deep Learning–Based Enhancement of Low-Dose CT Images Using Structure-Preserving Loss Functions","CONFERENCE","PECCII","IEEE","2026","PABNA","NONE","N/A","NONE","Maksuda Akter; Obaidul Haque","https://www.kaggle.com/datasets/andrewmvd/ct-low-dose-reconstruction?select=Preprocessed_256x256","NONE","NONE","PRIVATE","false","","","","",""
"45","WORKING","0","SoilFormer-Tex: A Texture-Guided Vision Transformer with Interpretability and Reliability Analysis on GAN-Augmented Soil Data","CONFERENCE","PECCII","IEEE","2026","PABNA","NONE","N/A","NONE","Maksuda Akter; Obaidul Haque","https://www.kaggle.com/datasets/ai4a-lab/comprehensive-soil-classification-datasets?select=Orignal-Dataset","NONE","NONE","PRIVATE","false","","","","",""
"46","WORKING","0","A Two-Stage Interpretable AI Framework for Dental Disease Screening and Localization from Dental Radiographs","CONFERENCE","PECCII","IEEE","2026","PABNA","NONE","N/A","NONE","Maksuda Akter; Obaidul Haque","NONE","NONE","NONE","PRIVATE","false","","","","",""
"47","WORKING","0","","","","","","NONE","","N/A","NONE","","NONE","NONE","NONE","PRIVATE","false","","","","",""
"48","WORKING","0","A Multi-Task Learning Approach for Simultaneous Prediction of Parkinson’s Disease Progression and Motor Severity from Mobility Biomarkers (HoehnYahr UPDRS)","CONFERENCE","ICEFronT ","IEEE","2026","MBSTU, tangail","NONE","N/A","NONE","Abu Bakar Rakib; Abrar Rakin; Obaidul Haque; Istiak","NONE","NONE","NONE","PRIVATE","false","","","","",""
"49","WORKING","0","Interpretable Eye Disease detection Gaussian filtering Classification","CONFERENCE","ICEFronT ","IEEE","2026","MBSTU, tangail","NONE","N/A","NONE","Abu Bakar Rakib; Md. Istiak Ahmed; Obaidul Haque; Abrar Rakin","NONE","NONE","NONE","PRIVATE","false","","","","",""
"50","WORKING","0","Fine-Grained Multi-Class Tibia–Fibula Fracture Detection and Localization Using Explainable Deep Learning on the FracAtlas Dataset","CONFERENCE","ICEFronT ","IEEE","2026","MBSTU, tangail","NONE","N/A","NONE","Abu Bakar Rakib; Obaidul Haque; Istiak; Abrar Rakin","NONE","NONE","NONE","PRIVATE","false","","","","",""
"51","WORKING","0","Sleep-EDF Database Expanded","CONFERENCE","ICEFronT ","IEEE","2026","MBSTU, tangail","NONE","N/A","NONE","Abu Bakar Rakib; Obaidul Haque; Istiak; Abrar Rakin","NONE","NONE","NONE","PRIVATE","false","","","","",""
"52","WORKING","0","Attention-Based Deep Learning Framework for Epileptic Seizure Detection Using Multi-Channel EEG Spectrograms","CONFERENCE","ICEFronT ","IEEE","2026","MBSTU, tangail","NONE","N/A","NONE","Abu Bakar Rakib; Obaidul Haque; Istiak; Abrar Rakin","NONE","NONE","NONE","PRIVATE","false","","","","",""
"53","ACCEPTED","373","A Unified Soft Voting Ensemble Model for Bangla SMS Spam Detection Using a Novel Annotated Dataset","CONFERENCE","ICCIT","IEEE","2025","Cox's Bazar","_","N/A","NONE","Md. Rashedul Islam; S.M. Abu Talha Shihab; Obaidul Haque; Naeem Mia","https://www.overleaf.com/project/68970ad3ad4caa69a6b1139c","https://drive.google.com/open?id=1goau-kgCBaV8cK4xNqnno9WWnqosIdsW&usp=drive_fs","NONE","PUBLIC","false","","","","",""
"54","ACCEPTED","1590","BanglaBERT-BiLSTM: A Novel Hybrid Architecture for Multiclass Mental Health Classification in Bengali Social Media Text","CONFERENCE","ICCIT","IEEE Xplore","2025","Cox's Bazar","0.00","CONFERENCE","https://ieeexplore.ieee.org/xpl/conhome/1000346/all-proceedings","Obaidul Haque; Ashraful Hossain; Mariha Tabassum; Rajib Khan; Fahim Shakil Tamim","https://www.overleaf.com/project/68c23da8303a3ac9c9766d51","https://drive.google.com/open?id=1Dc6Fdd2lN2R7Zaum04n1Mm78xam9egH9&usp=drive_fs","NONE","PUBLIC","false","","","","",""
"55","ACCEPTED","996","Bangla Semantic Analysis Using a Transformer-Based BanglaBERT Model","CONFERENCE","ICECTE ","IEEE","2026","RUET","_","N/A","NONE","Saikat Kumar Gain; Obaidul Haque; Rifat Hossain; A. S. M. Shakil Ahamed","https://www.overleaf.com/project/68fa2e63c177d35837da3d89","https://drive.google.com/open?id=19xvKdeH5Ei6bhNel9zOaTNPmuBLkOKho&usp=drive_fs","NONE","PUBLIC","false","","","","",""
"56","ACCEPTED","939","Sentiment Analysis of YouTube Comments on the Russia Ukraine Conflict: A Comparative Study of Machine Learning and Transformer-Based Approaches","CONFERENCE","ICECTE ","IEEE","2026","RUET","_","N/A","NONE","Abu Bakar Rakib; Md.Mahbub Alum; Obaidul Haque; Snaholata Mondal","https://www.overleaf.com/project/690243f123eb1b5ebef77cb0","https://drive.google.com/open?id=166RYJWKzUFrjB7zD9sevBje6RzB1lXG2&usp=drive_fs","NONE","PUBLIC","false","","","","",""
"57","ACCEPTED","344","Explainable Stacking Machine Learning Ensemble Model for Liver Disease Prediction","CONFERENCE","ICECTE ","IEEE","2026","RUET","NONE","N/A","NONE","Obaidul Haque; Md. Samiul Alom; Ferdaus Anam Jibon; Saikat Kumar Gain; Mahbub Alum","https://www.overleaf.com/project/6901b563dee2c9a6508b02ee","https://drive.google.com/open?id=1MDTHa_gEuIiHsZGd8j589uWCa4KfGl2a&usp=drive_fs","NONE","PUBLIC","false","","","","",""
"58","PUBLISHED","0","Stroke Prediction Using Ensemble Machine and Deep Learning Models","JOURNAL","Biomedical Materials & Devices","Springer Nature","2025","NONE","3.20","Q2","https://link.springer.com/journal/44227","Md. Samiul Alom; Rajib Kumar Halder; Saikat Kumar Gain; Nusrat Jahan; Md. Alamin
Talukder; Rakib Hossen; Faisal Imran; Fahim Shakil
Tamim; Md Ashraf Uddin; Mohsin Kazi; Obaidul Haque","https://www.overleaf.com/project/694600e3e381fe4907c3c932","https://drive.google.com/open?id=1USIpUdwfsO-wkLfeTasOChL1B4_Hxqz9&usp=drive_fs","NONE","PUBLIC","false","","","","",""
"59","PUBLISHED","949","A Comprehensive Approach to Fetal Health Prediction Using Machine Learning and Ensemble Models","CONFERENCE","ICCIT","IEEE","2024","Cox's Bazar","_","N/A","NONE","MD Samiul Alom; ASM Shakil Ahamed; Obaidul Haque","https://www.overleaf.com/project/66fec4a186bbb0f578efee98","https://drive.google.com/open?id=1LGY5sawlzY6AT8Yk65GlR2ANESAppMGB&usp=drive_fs","NONE","PUBLIC","false","","","","",""
